"NOMOR";"PROGRAM";"JURUSAN";"KELAS";"PARAREL";"KODE";"KODE_KELAS_ABSEN";"KODE_EPSBED";"KONSENTRASI";"WALI_KELAS"
1;3;1;1;"A";"1 EA D3";"1EA3";"R";;214
2;3;1;1;"B";"1 EB D3";"1EB3";"R";;33
4;3;2;1;"A";"1 TA D3";"1TA3";"R";;38
5;3;2;1;"B";"1 TB D3";"1TB3";"R";;211
6;3;2;1;"X";"1 TX D3";"1TX3";"R";;
7;3;3;1;"A";"1 LA D3";"1LA3";"R";;68
8;3;3;1;"X";"1 LX D3";"1LX3";"R";;
9;3;4;1;"A";"1 ITA D3";"1IA3";"R";;1262
10;3;4;1;"X";"1 ITX D3";"1IX3";"R";;
11;4;1;1;"A";"1 EA STr";"1EA4";"R";;91
12;4;2;1;"A";"1 TA STr";"1TA4";"R";;19
13;4;3;1;"A";"1 LA STr";"1LA4";"R";;75
14;4;4;1;"A";"1 ITA STr";"1IA4";"R";;89
15;3;1;2;"A";"2 EA D3";"2EA3";"R";;787
16;3;1;2;"B";"2 EB D3";"2EB3";"R";;137
17;3;1;2;"X";"2 EX D3";"2EX3";"R";;
18;3;2;2;"A";"2 TA D3";"2TA3";"R";;34
19;3;2;2;"B";"2 TB D3";"2TB3";"R";;111
20;3;2;2;"X";"2 TX D3";"2TX3";"R";;
21;3;3;2;"A";"2 LA D3";"2LA3";"R";;15
22;3;3;2;"X";"2 LX D3";"2LX3";"R";;
23;3;4;2;"A";"2 ITA D3";"2IA3";"R";;424
24;3;4;2;"X";"2 ITX D3";"2IX3";"R";;
25;4;1;2;"A";"2 EA STr";"2EA4";"R";;66
26;4;2;2;"A";"2 TA STr";"2TA4";"R";;14
27;4;3;2;"A";"2 LA STr";"2LA4";"R";;638
28;4;4;2;"A";"2 ITA STr";"2IA4";"R";;757
29;3;1;3;"A";"3 EA D3";"3EA3";"R";;79
30;3;1;3;"B";"3 EB D3";"3EB3";"R";;41
31;3;1;3;"X";"3 EX D3";"3EX3";"R";;
32;3;2;3;"A";"3 TA D3";"3TA3";"R";;44
33;3;2;3;"B";"3 TB D3";"3TB3";"R";;125
34;3;2;3;"X";"3 TX D3";"3TX3";"R";;
35;3;3;3;"A";"3 LA D3";"3LA3";"R";;28
36;3;3;3;"X";"3 LX D3";"3LX3";"R";;
37;3;4;3;"A";"3 ITA D3";"3IA3";"R";;90
38;3;4;3;"X";"3 ITX D3";"3IX3";"R";;
39;4;1;3;"A";"3 EA STr";"3EA4";"R";;363
40;4;2;3;"A";"3 TA STr";"3TA4";"R";;7
41;4;3;3;"A";"3 LA STr";"3LA4";"R";;1076
42;4;4;3;"A";"3 ITA STr";"3IA4";"R";;344
45;3;1;2;"C";"2 EC D3";"2EC3";"R";;
53;4;1;4;"A";"4 EA STr";"4EA4";"R";;210
54;4;2;4;"A";"4 TA STr";"4TA4";"R";;24
55;4;3;4;"A";"4 LA STr";"4LA4";"R";;51
56;4;4;4;"A";"4 ITA STr";"4IA4";"R";;83
57;3;1;1;"C";"1 EC D3";"1EC3";"R";;
58;3;2;1;"C";"1 TC D3";"1TC3";"R";;
59;3;3;1;"B";"1 LB D3";"1LB3";"R";;25
69;3;4;1;"B";"1 ITB D3";"1IB3";"R";;439
74;3;2;2;"C";"2 TC D3";"2TC3";"R";;
76;3;3;2;"B";"2 LB D3";"2LB3";"R";;12
77;3;4;2;"B";"2 ITB D3";"2IB3";"R";;348
79;3;1;3;"C";"3 EC D3";"3EC3";"R";;
80;3;2;3;"C";"3 TC D3";"3TC3";"R";;
81;3;3;3;"B";"3 LB D3";"3LB3";"R";;69
82;3;4;3;"B";"3 ITB D3";"3IB3";"R";;82
90;4;4;1;"B";"1 ITB STr";"1IB4";"R";;45
91;4;1;1;"B";"1 EB STr";"1EB4";"R";;78
92;4;2;1;"B";"1 TB STr";"1TB4";"R";;67
98;4;1;2;"B";"2 EB STr";"2EB4";"R";;76
99;4;2;2;"B";"2 TB STr";"2TB4";"R";;59
101;4;4;2;"B";"2 ITB STr";"2IB4";"R";;80
117;4;5;1;"A";"1 MA STr";"1MA4";"R";;485
118;4;5;1;"B";"1 MB STr";"1MB4";"R";;681
119;3;4;1;"C";"1 ITC D3";"1IC3";"R";;
120;4;1;3;"B";"3 EB STr";"3EB4";"R";;86
121;4;2;3;"B";"3 TB STr";"3TB4";"R";;42
122;4;4;3;"B";"3 ITB STr";"3IB4";"R";;63
152;4;6;1;"A";"1 TKA STr";"1KA4";"R";;346
153;3;4;2;"C";"2 ITC D3";"2IC3";"R";;
154;4;2;4;"B";"4 TB STr";"4TB4";"R";;5
155;4;4;4;"B";"4 ITB STr";"4IB4";"R";;320
156;4;5;2;"A";"2 MA STr";"2MA4";"R";;52
159;4;1;4;"B";"4 EB STr";"4EB4";"R";;84
162;3;7;1;"A";"1 MMA D3";"1BA3";"R";;483
163;4;5;3;"A";"3 MA STr";"3MA4";"R";;61
164;4;6;2;"A";"2 TKA STr";"2KA4";"R";;40
165;3;4;3;"C";"3 ITC D3";"3IC3";"R";;
168;3;7;2;"A";"2 MMA D3";"2BA3";"R";;706
169;4;5;4;"A";"4 MA STr";"4MA4";"R";;9
170;4;6;3;"A";"3 TKA STr";"3KA4";"R";;664
172;4;3;1;"B";"1 LB STr";"1LB4";"R";;628
173;4;3;2;"B";"2 LB STr";"2LB4";"R";;94
174;4;3;3;"B";"3 LB STr";"3LB4";"R";;36
175;4;3;4;"B";"4 LB STr";"4LB4";"R";;716
177;4;6;4;"A";"4 TKA STr";"4KA4";"R";;436
178;4;5;2;"B";"2 MB STr";"2MB4";"R";;49
179;4;5;3;"B";"3 MB STr";"3MB4";"R";;4
180;4;5;4;"B";"4 MB STr";"4MB4";"R";;1134
181;3;7;3;"A";"3 MMA D3";"3BA3";"R";;661
188;4;8;1;"A";"1 SPA STr";"1PA4";"R";;682
189;4;8;2;"A";"2 SPA STr";"2PA4";"R";;682
190;4;8;3;"A";"3 SPA STr";"3PA4";"R";;717
191;4;8;4;"A";"4 SPA STr";"4PA4";"R";;753
192;3;7;1;"B";"1 MMB D3";"1BB3";"R";;662
194;3;7;2;"B";"2 MMB D3";"2BB3";"R";;235
195;3;7;3;"B";"3 MMB D3";"3BB3";"R";;629
196;4;6;1;"B";"1 TKB STr";"1KB4";"R";;50
197;4;6;2;"B";"2 TKB STr";"2KB4";"R";;27
198;4;6;3;"B";"3 TKB STr";"3KB4";"R";;398
199;4;6;4;"B";"4 TKB STr";"4KB4";"R";;32
207;4;9;1;"A";"1 GMA STr";"1GA4";"R";;788
208;4;9;2;"A";"2 GMA STr";"2GA4";"R";;785
209;4;9;3;"A";"3 GMA STr";"3GA4";"R";;
210;4;9;4;"A";"4 GMA STr";"4GA4";"R";;
223;4;8;1;"B";"1 SPB STr";"1PB4";"R";;422
224;4;8;2;"B";"2 SPB STr";"2PB4";"R";;
225;4;8;3;"B";"3 SPB STr";"3PB4";"R";;
226;4;8;4;"B";"4 SPB STr";"4PB4";"R";;
247;24;4;1;"A";"1 PD ITA-LA D3";"1DI3";"";;64
248;24;7;1;"A";"1 PD MMBA-LA D3";"1DM3";"";;2251
249;25;4;1;"A";"1 PD ITA-SM D3";"1SI3";"";;921
250;25;7;1;"A";"1 PD MMBA-SM D3";"1SM3";"";;2078
255;4;1;1;"C";"1 EC STr";"1EC4";"";;
256;4;1;2;"C";"2 EC STr";"2EC4";"";;
257;4;1;3;"C";"3 EC STr";"3EC4";"";;
258;4;1;4;"C";"4 EC STr";"4EC4";"";;
259;4;2;1;"C";"1 TC STr";"1TC4";"";;
260;4;2;2;"C";"2 TC STr";"2TC4";"";;
261;4;2;3;"C";"3 TC STr";"3TC4";"";;
262;4;2;4;"C";"4 TC STr";"4TC4";"";;
263;4;3;1;"C";"1 LC STr";"1LC4";"";;
264;4;3;2;"C";"2 LC STr";"2LC4";"";;
265;4;3;3;"C";"3 LC STr";"3LC4";"";;
266;4;3;4;"C";"4 LC STr";"4LC4";"";;
267;4;4;1;"C";"1 IC STr";"1IC4";"";;
268;4;4;2;"C";"2 IC STr";"2IC4";"";;
269;4;4;3;"C";"3 IC STr";"3IC4";"";;
270;4;4;4;"C";"4 IC STr";"4IC4";"";;
275;4;6;1;"C";"1 TKC STr";"1KC4";"";;
276;4;6;2;"C";"2 KC STr";"2KC4";"";;
277;4;6;3;"C";"3 KC STr";"3KC4";"";;
278;4;6;4;"C";"4 KC STr";"4KC4";"";;
279;4;9;1;"B";"1 GMB STr";"1GB4";"R";;
280;4;9;2;"B";"2 GMB STr";"2GB4";"R";;
281;4;9;3;"B";"3 GMB STr";"3GB4";"R";;
282;4;9;4;"B";"4 GMB STr";"4GB4";"R";;
286;24;4;2;"A";"2 PD ITA-LA D3";"2DI3";"";;2053
287;24;4;3;"A";"3 PD ITA-LA D3";"3DI3";"";;321
288;24;7;2;"A";"2 PD MMBA-LA D3";"2DM3";"";;2055
289;24;7;3;"A";"3 PD MMBA-LA D3";"3DM3";"";;719
290;25;4;2;"A";"2 PD ITA-SM D3";"2SI3";"";;757
291;25;4;3;"A";"3 PD ITA-SM D3";"3SI3";"";;757
292;25;7;2;"A";"2 PD MMBA-SM D3";"2SM3";"";;483
293;25;7;3;"A";"3 PD MMBA-SM D3";"3SM3";"";;2071
294;4;9;1;"C";"1 GMC STr";"1GC4";"R";;
295;4;9;2;"C";"2 GMC STr";"2GC4";"R";;
296;4;9;3;"C";"3 GMC STr";"3GC4";"R";;
297;4;9;4;"C";"4 GMC STr";"4GC4";"R";;
298;4;10;1;"A";"1 RIA STr";"1YA4";"";;
299;4;10;2;"A";"2 RIA STr";"2YA4";"";;
300;4;10;3;"A";"3 RIA STr";"3YA4";"";;
301;4;10;4;"A";"4 RIA STr";"4YA4";"";;
302;4;11;1;"A";"1 RMA STr";"1UA4";"";;
303;4;11;2;"A";"2 RMA STr";"2UA4";"";;
304;4;11;3;"A";"3 RMA STr";"3UA4";"";;
305;4;11;4;"A";"4 RMA STr";"4UA4";"";;
306;4;12;1;"A";"1 SDA STr";"1SA4";"";;
307;4;12;2;"A";"2 SDA STr";"2SA4";"";;
308;4;12;3;"A";"3 SDA STr";"3SA4";"";;
309;4;12;4;"A";"4 SDA STr";"4SA4";"";;
313;4;10;1;"B";"1 RIB STr";"1YB4";"";;
314;4;10;2;"B";"2 RIB STr";"2YB4";"";;
315;4;10;3;"B";"3 RIB STr";"3YB4";"";;
316;4;10;4;"B";"4 RIB STr";"4YB4";"";;
317;4;11;1;"B";"1 RMB STr";"1UB4";"";;
318;4;11;2;"B";"2 RMB STr";"2UB4";"";;
319;4;11;3;"B";"3 RMB STr";"3UB4";"";;
320;4;11;4;"B";"4 RMB STr";"4UB4";"";;
321;4;12;1;"B";"1 SDB STr";"1SB4";"";;
322;4;12;2;"B";"2 SDB STr";"2SB4";"";;
323;4;12;3;"B";"3 SDB STr";"3SB4";"";;
324;4;12;4;"B";"4 SDB STr";"4SB4";"";;
325;24;4;1;"B";"1 PD ITA-LB D3";"1DB3";"";;
326;24;4;2;"B";"2 PD ITA-LB D3";"2DB3";"";;
327;24;4;3;"B";"3 PD ITA-LB D3";"3DB3";"";;
328;4;9;1;"D";"1 GMD STr";"1GD4";"R";;
344;4;1;1;"D";"1 ED STr";"1ED4";"";;
345;4;2;1;"D";"1 TD STr";"1TD4";"";;
346;4;3;1;"D";"1 LD STr";"1LD4";"";;
347;4;4;1;"D";"1 ID STr";"1ID4";"";;
348;4;5;1;"C";"1 MC STr";"1MC4";"R";;
349;4;8;1;"C";"1 SPC STr";"1PC4";"";;
355;4;1;1;"E";"1 EE STr";"1EE4";"";;
356;4;5;1;"D";"1 MD STr";"1MD4";"R";;
357;4;6;1;"D";"1 TKD STr";"1KD4";"";;
358;4;8;1;"D";"1 SPD STr";"1PD4";"";;
359;4;10;1;"C";"1 RIC STr";"1YC4";"";;
360;4;11;1;"C";"1 RMC STr";"1UC4";"";;
361;4;12;1;"C";"1 SDC STr";"1SC4";"";;
