"TAHUN","MAHASISWA","SKOR_MAT","SKOR_FIS","SKOR_ING","SKOR_IND","SKOR_SKO","SKOR_SKO_NALAR","SKOR_SKO_PAHAM","SKOR_SKO_BACAAN","SKOR_SKO_KUANTITATIF","SKOR_BENAR_SEMUA","SKOR_TOTAL"
2021,21166,24,21,21,10.5,15,,,,,212,
2021,21381,36,30,21,15,12,,,,,212,
2021,21056,15,24,7.5,10.5,11,,,,,212,
2021,21267,12,33,12,12,8,,,,,212,
2021,21151,18,15,7.5,9,10,,,,,212,
2021,21108,42,39,9,9,11,,,,,212,
2021,21549,30,24,9,6,4,,,,,128,57.03
2021,21442,27,18,3,6,3,,,,,128,44.53
2021,21809,15,12,3,3,2,,,,,128,32.61
2021,21495,27,24,13.5,7.5,6,,,,,128,60.94
2021,21630,18,24,4.5,6,2,,,,,128,47.84
2021,21774,24,24,6,6,0,,,,,128,46.88
2021,21555,33,15,7.5,12,3,,,,,128,55.08
2021,21645,27,18,1.5,7.5,4,,,,,128,47.73
2021,21449,15,15,7.5,3,3,,,,,128,33.98
2021,21439,27,24,10.5,6,3,,,,,128,55.08
2021,21741,12,21,9,3,3,,,,,128,37.5
2021,21055,57,51,16.5,16.5,14,,,,,212,
2021,21358,21,30,15,15,13,,,,,212,
2021,21274,12,18,7.5,12,7,,,,,212,
2021,20938,45,33,15,16.5,14,,,,,212,
2021,21164,45,39,18,12,13,,,,,212,
2021,21089,12,9,3,7.5,9,,,,,212,
2021,21066,48,42,16.5,13.5,8,,,,,212,
2021,21074,24,21,12,13.5,8,,,,,212,
2021,21244,33,48,10.5,18,8,,,,,212,
2021,21002,12,15,6,7.5,11,,,,,212,
2021,21106,15,12,6,4.5,6,,,,,212,
2021,21369,21,27,12,15,6,,,,,212,
2021,21220,18,15,4.5,9,13,,,,,212,
2021,21530,24,21,10.5,6,6,,,,,128,52.73
2021,21396,21,18,4.5,3,0,,,,,128,41.59
2021,21559,33,15,4.5,7.5,4,,,,,128,50
2021,21719,9,18,3,3,2,,,,,128,27.34
2021,21553,33,21,10.5,4.5,2,,,,,128,52.85
2021,21556,24,9,6,7.5,2,,,,,128,37.89
2021,21563,45,18,10.5,13.5,4,,,,,128,71.09
2021,21565,33,24,7.5,4.5,6,,,,,128,58.59
2021,21568,39,39,13.5,9,7,,,,,128,83.98
2021,21569,12,9,9,6,6,,,,,128,32.81
2021,21571,9,15,6,6,5,,,,,128,39.02
2021,21572,30,18,4.5,9,6,,,,,128,58
2021,21575,27,15,4.5,7.5,5,,,,,128,46.09
2021,21581,15,15,1.5,7.5,5,,,,,128,38.29
2021,21584,30,30,4.5,7.5,0,,,,,128,56.25
2021,21669,36,21,3,3,6,,,,,128,53.91
2021,21692,39,27,4.5,6,7,,,,,128,70.5
2021,21697,36,15,6,4.5,3,,,,,128,46.54
2021,21698,9,24,6,7.5,3,,,,,128,38.67
2021,21702,42,24,6,6,5,,,,,128,64.84
2021,21705,24,18,4.5,6,5,,,,,128,44.92
2021,21707,21,33,12,7.5,3,,,,,128,59.77
2021,21709,21,3,6,3,0,,,,,128,38.29
2021,21460,24,18,10.5,4.5,5,,,,,128,48.44
2021,21720,18,9,7.5,7.5,5,,,,,128,41.98
2021,21687,42,36,12,12,6,,,,,128,84.38
2021,21583,27,18,6,12,6,,,,,128,53.91
2021,21574,18,18,12,9,4,,,,,128,47.66
2021,21488,36,24,10.5,6,7,,,,,128,65.23
2021,21644,9,18,10.5,9,4,,,,,128,39.45
2021,21811,15,9,7.5,4.5,3,,,,,128,30.47
2021,21708,36,24,6,4.5,1,,,,,128,55.86
2021,21578,30,24,7.5,7.5,2,,,,,128,60.73
2021,21722,12,15,3,6,3,,,,,128,30.47
2021,21724,12,12,4.5,9,4,,,,,128,32.42
2021,21725,18,9,9,9,3,,,,,128,37.5
2021,21727,6,0,9,7.5,4,,,,,128,20.7
2021,21733,12,6,0,10.5,4,,,,,128,30.16
2021,21824,21,9,6,4.5,5,,,,,128,35.55
2021,21827,9,9,4.5,4.5,0,,,,,128,21.09
2021,21832,18,18,4.5,9,0,,,,,128,43.94
2021,21833,12,12,4.5,4.5,5,,,,,128,29.69
2021,21837,0,9,3,1.5,2,,,,,128,19.44
2021,21845,24,6,7.5,3,6,,,,,128,36.33
2021,21657,15,24,1.5,10.5,0,,,,,128,39.84
2021,21666,15,18,1.5,4.5,5,,,,,128,26.04
2021,21420,21,30,9,7.5,6,,,,,128,57.42
2021,21427,30,36,10.5,6,4,,,,,128,72.84
2021,21447,15,15,4.5,3,4,,,,,128,36.19
2021,21434,24,21,10.5,4.5,6,,,,,128,56.83
2021,21674,21,27,3,9,5,,,,,128,50.78
2021,21494,21,12,9,9,0,,,,,128,39.84
2021,21627,36,27,9,10.5,3,,,,,128,66.8
2021,21466,18,18,6,7.5,0,,,,,128,38.67
2021,21693,18,18,6,6,2,,,,,128,44.33
2021,21682,33,21,12,6,3,,,,,128,67.07
2021,21535,27,12,9,9,7,,,,,128,50
2021,21522,24,21,6,4.5,4,,,,,128,46.48
2021,21412,15,15,7.5,3,6,,,,,128,36.33
2021,21717,12,12,1.5,3,2,,,,,128,30.57
2021,21508,15,21,4.5,6,4,,,,,128,44.72
2021,21873,18,12,3,7.5,0,,,,,128,36.91
2021,21493,12,24,3,7.5,6,,,,,128,46.28
2021,21835,15,15,6,7.5,5,,,,,128,37.89
2021,21452,30,15,6,3,1,,,,,128,48.23
2021,21609,33,24,10.5,9,4,,,,,128,62.89
2021,21579,12,21,4.5,7.5,4,,,,,128,38.28
2021,21415,18,24,10.5,9,4,,,,,128,51.17
2021,21437,18,12,10.5,9,8,,,,,128,44.92
2021,21461,39,6,7.5,9,5,,,,,128,51.95
2021,21463,24,15,6,6,6,,,,,128,44.53
2021,21478,33,21,10.5,9,5,,,,,128,61.33
2021,21808,27,15,1.5,3,5,,,,,128,40.23
2021,21391,24,3,10.5,6,5,,,,,128,37.89
2021,21440,30,24,10.5,7.5,5,,,,,128,60.16
2021,21904,6,15,7.5,7.5,6,,,,,128,38.08
2021,21505,18,12,6,4.5,4,,,,,128,40.03
2021,21448,18,21,4.5,9,8,,,,,128,52.53
2021,21754,18,21,9,1.5,3,,,,,128,46.28
2021,21416,18,12,3,3,5,,,,,128,32.03
2021,21729,39,21,7.5,9,7,,,,,128,65.23
2021,21634,36,15,7.5,9,5,,,,,128,61.91
2021,21509,36,24,7.5,0,6,,,,,128,57.42
2021,21468,15,12,12,9,5,,,,,128,41.41
2021,21799,15,18,3,10.5,5,,,,,128,40.23
2021,21615,18,18,4.5,10.5,4,,,,,128,42.97
2021,21473,27,15,4.5,9,5,,,,,128,52.53
2021,21464,27,15,3,12,4,,,,,128,47.66
2021,21469,21,30,7.5,7.5,4,,,,,128,54.69
2021,21470,30,24,6,9,4,,,,,128,57.03
2021,21471,21,24,7.5,7.5,5,,,,,128,50.78
2021,21481,24,21,10.5,6,1,,,,,128,48.83
2021,21483,48,21,6,9,5,,,,,128,69.53
2021,21486,33,24,10.5,7.5,6,,,,,128,63.28
2021,21740,18,21,7.5,7.5,6,,,,,128,46.88
2021,21750,12,12,9,13.5,5,,,,,128,40.23
2021,21759,18,15,4.5,1.5,0,,,,,128,30.47
2021,21760,21,3,1.5,6,6,,,,,128,29.3
2021,21726,15,12,1.5,3,3,,,,,128,24.42
2021,21400,18,21,10.5,7.5,6,,,,,128,54.48
2021,21695,15,18,1.5,3,5,,,,,128,33.2
2021,21585,42,27,9,9,4,,,,,128,71.09
2021,21577,30,12,6,7.5,4,,,,,128,46.48
2021,21588,39,21,12,10.5,5,,,,,128,68.36
2021,21590,21,18,9,10.5,6,,,,,128,50.39
2021,21591,30,12,3,6,3,,,,,128,42.19
2021,21592,42,30,6,6,0,,,,,128,65.63
2021,21594,18,12,4.5,7.5,5,,,,,128,36.72
2021,21599,24,12,1.5,7.5,6,,,,,128,41.13
2021,21586,36,24,7.5,10.5,3,,,,,128,68.55
2021,21561,27,27,9,10.5,5,,,,,128,61.33
2021,21632,24,15,4.5,4.5,4,,,,,128,45.89
2021,21431,45,27,13.5,6,0,,,,,128,71.48
2021,21430,33,27,12,9,2,,,,,128,70.11
2021,21543,30,27,9,6,4,,,,,128,64.64
2021,21762,6,6,6,9,6,,,,,128,31.05
2021,21763,9,9,1.5,4.5,5,,,,,128,22.66
2021,21765,12,6,7.5,6,6,,,,,128,29.3
2021,21761,21,21,7.5,4.5,4,,,,,128,45.31
2021,21766,24,18,4.5,4.5,5,,,,,128,43.75
2021,21602,18,9,0,4.5,2,,,,,128,33.21
2021,21603,18,6,3,3,3,,,,,128,31.05
2021,21605,12,9,7.5,9,3,,,,,128,36.91
2021,21826,21,15,3,9,3,,,,,128,45.11
2021,21411,18,21,4.5,9,1,,,,,128,41.8
2021,21525,33,21,6,6,5,,,,,128,55.47
2021,21838,24,9,6,3,5,,,,,128,36.72
2021,21433,3,6,4.5,3,4,,,,,128,16.02
2021,21422,39,24,13.5,6,7,,,,,128,69.92
2021,21418,27,6,7.5,3,5,,,,,128,43.16
2021,21643,18,21,6,7.5,2,,,,,128,42.58
2021,21680,15,9,10.5,9,4,,,,,128,42.38
2021,21847,15,21,7.5,6,4,,,,,128,41.8
2021,21475,27,18,6,3,3,,,,,128,44.53
2021,21404,15,12,9,6,6,,,,,128,37.5
2021,21604,15,3,6,7.5,7,,,,,128,43.38
2021,21667,30,18,4.5,6,2,,,,,128,51.9
2021,21409,21,18,7.5,9,2,,,,,128,50.19
2021,21589,30,27,6,7.5,5,,,,,128,58.98
2021,21748,24,6,7.5,10.5,2,,,,,128,39.06
2021,21537,12,24,10.5,4.5,6,,,,,128,44.53
2021,21769,27,6,9,4.5,4,,,,,128,39.45
2021,21441,27,15,7.5,9,3,,,,,128,48.05
2021,21551,27,30,7.5,9,3,,,,,128,59.77
2021,21673,6,6,3,7.5,6,,,,,128,32.95
2021,21612,24,27,7.5,6,4,,,,,128,53.52
2021,21557,15,12,6,9,1,,,,,128,38.86
2021,21704,9,12,4.5,7.5,6,,,,,128,30.47
2021,21703,21,15,4.5,10.5,7,,,,,128,45.31
2021,21432,15,15,9,6,5,,,,,128,39.06
2021,21482,15,21,7.5,12,4,,,,,128,46.48
2021,21526,33,21,7.5,7.5,6,,,,,128,58.59
2021,21502,6,6,6,6,5,,,,,128,27.92
2021,21490,36,30,7.5,4.5,3,,,,,128,63.28
2021,21600,27,30,4.5,6,2,,,,,128,54.3
2021,21656,15,15,9,7.5,7,,,,,128,40.1
2021,21393,21,21,4.5,4.5,5,,,,,128,52.81
2021,21560,30,15,10.5,4.5,2,,,,,128,48.44
2021,21755,15,6,4.5,7.5,4,,,,,128,34.17
2021,21751,9,15,7.5,6,4,,,,,128,32.42
2021,21629,27,36,0,7.5,1,,,,,128,55.86
2021,21631,33,9,6,10.5,2,,,,,128,47.27
2021,21639,18,15,10.5,7.5,3,,,,,128,42.19
2021,21640,48,24,9,3,4,,,,,128,74.02
2021,21414,21,9,10.5,10.5,6,,,,,128,49.8
2021,21517,30,24,7.5,9,2,,,,,128,56.64
2021,21401,18,24,9,6,4,,,,,128,47.66
2021,21480,33,15,9,4.5,3,,,,,128,50.39
2021,21507,24,15,15,7.5,6,,,,,128,52.73
2021,21739,24,9,7.5,6,4,,,,,128,39.45
2021,21598,21,15,7.5,7.5,3,,,,,128,42.19
2021,21497,30,21,7.5,6,5,,,,,128,54.3
2021,21499,27,24,6,6,5,,,,,128,53.13
2021,21501,36,18,9,4.5,6,,,,,128,57.42
2021,21503,30,24,12,9,4,,,,,128,61.72
2021,21504,3,12,10.5,7.5,5,,,,,128,29.69
2021,21513,30,15,6,7.5,1,,,,,128,46.48
2021,21515,27,15,4.5,12,2,,,,,128,52.53
2021,21394,30,24,10.5,10.5,5,,,,,128,67.77
2021,21518,27,27,10.5,9,5,,,,,128,61.33
2021,21521,42,21,3,3,5,,,,,128,57.81
2021,21779,18,6,4.5,6,4,,,,,128,35.34
2021,21650,3,3,4.5,7.5,5,,,,,128,17.97
2021,21654,27,18,7.5,3,5,,,,,128,52.53
2021,21655,27,18,0,3,0,,,,,128,37.5
2021,21658,33,15,6,4.5,1,,,,,128,46.48
2021,21660,18,18,6,9,5,,,,,128,43.75
2021,21661,36,30,10.5,9,7,,,,,128,72.27
2021,21662,36,30,7.5,10.5,5,,,,,128,69.53
2021,21406,18,24,4.5,9,2,,,,,128,50.19
2021,21531,27,21,1.5,6,4,,,,,128,46.11
2021,21614,30,18,12,10.5,4,,,,,128,58.2
2021,21405,30,24,7.5,4.5,2,,,,,128,53.13
2021,21699,33,42,9,13.5,3,,,,,128,78.52
2021,21712,15,3,1.5,9,2,,,,,128,23.83
2021,21715,30,39,6,9,3,,,,,128,67.97
2021,21421,24,24,7.5,3,5,,,,,128,49.61
2021,21419,33,21,10.5,9,4,,,,,128,60.55
2021,21681,33,24,7.5,3,5,,,,,128,56.64
2021,21783,12,12,6,3,3,,,,,128,21.35
2021,21787,15,21,4.5,6,5,,,,,128,45.5
2021,21796,15,9,4.5,10.5,4,,,,,128,38.86
2021,21807,30,21,0,3,5,,,,,128,46.09
2021,21716,12,9,4.5,1.5,3,,,,,128,36.53
2021,21542,15,9,10.5,7.5,3,,,,,128,40.42
2021,21491,27,24,4.5,9,1,,,,,128,51.17
2021,21718,9,12,3,6,0,,,,,128,23.44
2021,21728,15,3,6,7.5,2,,,,,128,26.17
2021,21678,18,15,1.5,1.5,6,,,,,128,32.81
2021,21825,9,9,6,10.5,4,,,,,128,30.08
2021,21653,30,21,10.5,9,5,,,,,128,58.98
2021,21426,21,36,12,7.5,6,,,,,128,64.45
2021,21456,30,21,4.5,3,3,,,,,128,48.05
2021,21451,9,9,4.5,6,4,,,,,128,25.39
2021,21424,27,21,4.5,6,5,,,,,128,49.61
2021,21633,21,27,10.5,9,4,,,,,128,55.86
2021,21567,21,15,4.5,6,4,,,,,128,39.45
2021,21458,9,12,4.5,7.5,3,,,,,128,33.39
2021,21392,27,27,9,10.5,3,,,,,128,59.77
2021,21791,12,15,7.5,3,5,,,,,128,33.2
2021,21573,30,27,3,7.5,1,,,,,128,53.52
2021,21407,9,18,3,9,4,,,,,128,38.86
2021,21683,27,15,7.5,3,4,,,,,128,44.14
2021,21516,27,21,4.5,9,1,,,,,128,49.12
2021,21395,36,27,7.5,1.5,5,,,,,128,60.16
2021,21623,15,18,1.5,4.5,4,,,,,128,33.59
2021,21580,6,3,10.5,7.5,4,,,,,128,37.74
2021,21641,21,18,9,9,4,,,,,128,47.66
2021,21462,39,39,6,4.5,3,,,,,128,71.48
2021,21649,33,33,9,7.5,5,,,,,128,73.63
2021,21635,15,9,4.5,3,2,,,,,128,31.44
2021,21566,24,24,1.5,4.5,5,,,,,128,51.36
2021,21465,12,18,7.5,6,6,,,,,128,38.67
2021,21610,33,21,4.5,9,3,,,,,128,55.08
2021,21558,15,9,9,6,3,,,,,128,38.08
2021,21524,27,15,1.5,7.5,3,,,,,128,42.19
2021,21608,6,15,10.5,10.5,4,,,,,128,35.94
2021,21689,30,33,10.5,6,4,,,,,128,65.23
2021,21454,18,15,12,12,5,,,,,128,48.44
2021,21435,24,12,3,7.5,5,,,,,128,40.23
2021,21776,15,6,6,6,0,,,,,128,25.78
2021,21500,15,21,6,6,4,,,,,128,40.63
2021,21663,24,12,1.5,7.5,2,,,,,128,36.72
2021,21429,6,18,12,10.5,4,,,,,128,39.45
2021,21413,18,21,7.5,7.5,5,,,,,128,51.36
2021,21582,27,33,6,6,8,,,,,128,62.5
2021,21800,21,12,3,6,2,,,,,128,34.38
2021,21642,33,15,6,9,1,,,,,128,50
2021,21436,24,21,6,7.5,6,,,,,128,55.66
2021,21514,21,18,10.5,4.5,3,,,,,128,44.53
2021,21523,33,24,6,10.5,5,,,,,128,61.33
2021,21527,21,21,4.5,4.5,2,,,,,128,41.41
2021,21528,15,18,9,6,7,,,,,128,48.23
2021,21529,45,33,12,6,4,,,,,128,78.13
2021,21532,27,21,7.5,9,6,,,,,128,55.08
2021,21534,42,39,9,7.5,7,,,,,128,81.64
2021,21536,12,6,9,6,3,,,,,128,33.39
2021,21540,18,12,6,7.5,5,,,,,128,37.89
2021,21544,9,15,3,7.5,5,,,,,128,34.4
2021,21546,30,24,3,10.5,3,,,,,128,55.08
2021,21664,21,24,12,9,3,,,,,128,53.91
2021,21668,36,24,4.5,7.5,3,,,,,128,63.86
2021,21671,21,21,3,9,5,,,,,128,46.09
2021,21672,39,18,7.5,4.5,4,,,,,128,57.03
2021,21675,0,21,7.5,10.5,3,,,,,128,34.95
2021,21677,36,27,9,10.5,2,,,,,128,66.02
2021,21685,18,30,7.5,7.5,0,,,,,128,54.48
2021,21690,36,12,10.5,9,4,,,,,128,55.86
2021,21691,39,30,13.5,9,5,,,,,128,75.39
2021,21399,21,21,4.5,6,4,,,,,128,44.14
2021,21686,21,27,9,9,4,,,,,128,59.95
2021,21443,21,24,9,7.5,5,,,,,128,51.95
2021,21636,42,24,10.5,7.5,4,,,,,128,68.75
2021,21771,9,15,3,3,2,,,,,128,25
2021,21548,33,27,12,10.5,5,,,,,128,68.36
2021,21626,15,12,4.5,12,5,,,,,128,40.92
2021,21425,9,18,0,3,4,,,,,128,26.56
2021,21817,30,9,4.5,6,4,,,,,128,41.8
2021,21767,18,15,12,10.5,6,,,,,128,48.05
2021,21789,18,15,3,1.5,0,,,,,128,29.3
2021,21512,30,6,4.5,7.5,4,,,,,128,40.63
2021,21647,45,24,9,6,6,,,,,128,70.31
2021,21457,15,6,12,6,2,,,,,128,37.3
2021,21785,15,15,9,7.5,5,,,,,128,45.5
2021,21570,9,12,7.5,9,5,,,,,128,38.47
2021,21818,9,6,3,7.5,5,,,,,128,23.83
2021,21694,45,30,9,10.5,0,,,,,128,73.83
2021,21538,27,27,4.5,7.5,3,,,,,128,53.91
2021,21621,15,12,3,12,5,,,,,128,41.98
2021,21841,18,9,4.5,4.5,3,,,,,128,35.73
2021,21450,30,12,6,9,4,,,,,128,47.66
2021,21444,15,21,12,10.5,4,,,,,128,54.09
2021,21554,18,21,9,4.5,4,,,,,128,49.41
2021,21455,21,27,3,7.5,5,,,,,128,54.88
2021,21688,21,15,9,6,7,,,,,128,45.31
2021,21601,27,27,9,9,4,,,,,128,59.38
2021,21550,12,12,9,7.5,4,,,,,128,40.03
2021,21180,27,18,9,13.5,7,,,,,212,
2021,20940,21,24,13.5,15,13,,,,,212,
2021,21903,6,18,1.5,7.5,2,,,,,128,32.61
2021,21906,27,15,7.5,7.5,6,,,,,128,49.22
2021,21618,18,18,6,10.5,4,,,,,128,49.41
2021,21510,36,27,12,4.5,3,,,,,128,64.45
2021,21676,21,21,6,12,4,,,,,128,50
2021,21562,18,21,6,6,5,,,,,128,43.75
2021,21679,21,18,6,9,4,,,,,128,45.31
2021,21467,33,21,9,4.5,4,,,,,128,55.86
2021,21670,6,15,10.5,1.5,6,,,,,128,30.47
2021,21428,9,3,7.5,7.5,5,,,,,128,30.27
2021,21472,30,21,6,9,4,,,,,128,54.69
2021,21541,27,27,9,9,6,,,,,128,60.94
2021,21520,27,24,9,7.5,3,,,,,128,55.08
2021,21403,36,42,9,6,5,,,,,128,76.56
2021,21477,27,24,7.5,6,4,,,,,128,53.52
2021,21446,9,18,1.5,4.5,6,,,,,128,38.48
2021,21638,15,27,3,6,4,,,,,128,42.97
2021,21736,12,6,4.5,6,2,,,,,128,29.09
2021,21637,6,9,3,4.5,1,,,,,128,38.97
2021,21701,27,30,6,7.5,4,,,,,128,58.2
2021,21747,15,21,1.5,1.5,4,,,,,128,38.86
2021,21753,15,12,12,4.5,7,,,,,128,39.45
2021,21539,39,18,10.5,4.5,5,,,,,128,65.42
2021,21622,21,12,12,9,4,,,,,128,45.31
2021,21696,15,15,6,6,6,,,,,128,42.77
2021,21496,27,30,10.5,12,4,,,,,128,65.23
2021,21506,30,27,10.5,7.5,4,,,,,128,61.72
2021,21597,36,21,9,9,4,,,,,128,61.72
2021,21648,30,24,9,10.5,8,,,,,128,63.67
2021,21368,57,27,15,13.5,13,,,,,212,
2021,21371,36,24,16.5,21,7,,,,,212,
2021,21370,9,21,10.5,10.5,8,,,,,212,
2021,21372,30,21,13.5,10.5,13,,,,,212,
2021,21378,48,42,9,15,6,,,,,212,
2021,20968,15,15,6,9,10,,,,,212,
2021,21360,42,33,10.5,12,10,,,,,212,
2021,20957,42,21,9,10.5,15,,,,,212,
2021,21259,54,33,12,12,12,,,,,212,
2021,21410,30,18,1.5,3,2,,,,,128,42.58
2021,21743,15,12,10.5,6,3,,,,,128,41.59
2021,21684,15,18,7.5,6,4,,,,,128,44.72
2021,21595,18,18,10.5,10.5,4,,,,,128,47.66
2021,21484,12,18,9,3,4,,,,,128,41.2
2021,21511,39,18,7.5,7.5,4,,,,,128,59.38
2021,21397,33,27,10.5,4.5,5,,,,,128,62.5
2021,21090,39,42,12,15,13,,,,,212,
2021,21218,33,18,15,18,11,,,,,212,
2021,21206,33,30,13.5,19.5,5,,,,,212,
2021,21079,36,21,9,16.5,13,,,,,212,
2021,21136,36,27,7.5,10.5,13,,,,,212,
2021,21258,48,48,12,15,14,,,,,212,
2021,21359,21,33,12,13.5,12,,,,,212,
2021,21032,48,42,15,15,13,,,,,212,
2021,20997,39,36,15,18,13,,,,,212,
2021,21036,42,30,9,21,9,,,,,212,
2021,21051,48,27,9,13.5,10,,,,,212,
2021,21059,24,33,12,9,14,,,,,212,
2021,21417,36,33,7.5,7.5,7,,,,,128,71.09
2021,21402,30,30,10.5,7.5,8,,,,,128,67.19
2021,21706,21,18,4.5,9,4,,,,,128,44.14
2021,21552,30,27,6,6,6,,,,,128,58.59
2021,21126,15,12,9,12,14,,,,,212,
2021,21288,18,9,6,12,12,,,,,212,
2021,21377,33,21,16.5,9,10,,,,,212,
2021,21201,45,27,12,6,6,,,,,212,
2021,21380,24,36,15,16.5,11,,,,,212,
2021,21053,27,21,7.5,4.5,6,,,,,212,
2021,21023,42,33,7.5,19.5,12,,,,,212,
2021,21237,18,18,4.5,10.5,10,,,,,212,
2021,21344,24,21,9,12,11,,,,,212,
2021,21037,6,21,12,7.5,8,,,,,212,
2021,21607,27,18,7.5,7.5,5,,,,,128,56.05
2021,21606,9,6,7.5,7.5,7,,,,,128,34.17
2021,21611,27,18,6,7.5,7,,,,,128,51.17
2021,21613,24,15,7.5,10.5,7,,,,,128,50
2021,21616,18,24,3,10.5,5,,,,,128,47.27
2021,21187,30,30,10.5,12,13,,,,,212,
2021,21367,36,24,15,15,13,,,,,212,
2021,21097,48,27,10.5,13.5,10,,,,,212,
2021,21423,21,12,3,6,3,,,,,128,35.16
2021,21564,36,24,4.5,12,5,,,,,128,63.67
2021,21782,24,18,4.5,9,3,,,,,128,45.7
2021,21547,21,12,13.5,4.5,4,,,,,128,42.97
2021,21617,15,12,6,6,3,,,,,128,32.81
2021,21619,12,21,4.5,3,4,,,,,128,40.03
2021,21624,18,18,7.5,0,0,,,,,128,33.98
2021,21625,36,27,7.5,10.5,5,,,,,128,67.19
2021,21628,33,30,6,7.5,0,,,,,128,59.77
2021,21194,27,15,16.5,10.5,11,,,,,212,
2021,21195,48,36,7.5,9,8,,,,,212,
2021,21197,33,42,13.5,15,16,,,,,212,
2021,21273,21,21,12,13.5,6,,,,,212,
2021,21276,15,21,9,7.5,6,,,,,212,
2021,21280,18,18,7.5,9,12,,,,,212,
2021,21291,9,30,7.5,12,12,,,,,212,
2021,21905,36,6,10.5,7.5,7,,,,,128,52.34
2021,21652,21,30,6,1.5,5,,,,,128,49.61
2021,21492,36,30,7.5,7.5,1,,,,,128,64.06
2021,21593,18,18,4.5,7.5,5,,,,,128,41.41
2021,21651,15,21,7.5,10.5,6,,,,,128,46.88
2021,21804,24,9,1.5,9,3,,,,,128,36.33
2021,21217,12,15,7.5,15,12,,,,,212,
2021,21191,15,24,7.5,9,9,,,,,212,
2021,21068,12,18,10.5,12,7,,,,,212,
2021,21104,21,15,4.5,9,12,,,,,212,
2021,21101,36,24,18,18,13,,,,,212,
2021,21167,54,42,9,18,10,,,,,212,
2021,21144,33,42,18,15,9,,,,,212,
2021,21132,12,12,12,10.5,11,,,,,212,
2021,21374,9,18,10.5,7.5,14,,,,,212,
2021,21398,12,9,3,4.5,2,,,,,128,42.44
2021,21798,18,15,9,6,4,,,,,128,40.63
2021,21382,33,30,21,12,10,,,,,212,
2021,21364,24,36,12,15,11,,,,,212,
2021,20984,48,54,15,24,9,,,,,212,
2021,21010,30,36,15,15,11,,,,,212,
2021,21043,33,21,13.5,12,12,,,,,212,
2021,21084,39,18,13.5,18,5,,,,,212,
2021,20990,45,42,13.5,9,11,,,,,212,
2021,21366,33,48,13.5,18,8,,,,,212,
2021,21154,21,39,9,10.5,12,,,,,212,
2021,21155,18,21,7.5,12,9,,,,,212,
2021,21157,51,36,15,15,11,,,,,212,
